datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2017-03-06,3268,10.0,10.0,162.51095290251916,813.0,13367.573637106127,2200.0,2200.0,0.0,0.0,11.0
2017-03-07,3267,12.0,12.0,166.1089813800657,831.0,13351.882238708225,3600.0,3600.0,0.0,0.0,18.0
2017-03-08,3261,9.0,9.0,168.7075575027382,844.0,13275.988288514878,2600.0,2600.0,0.0,0.0,13.0
2017-03-09,3257,13.0,13.0,169.70700985761223,849.0,13344.765517054258,1000.0,1000.0,0.0,0.0,5.0
2017-03-10,3265,9.0,9.0,172.5054764512596,863.0,13393.462243745043,2800.0,2800.0,0.0,0.0,14.0
2017-03-11,3260,16.0,16.0,174.7042716319825,874.0,13456.558139340259,2200.0,2200.0,0.0,0.0,11.0
2017-03-12,3265,12.0,12.0,177.5027382256298,888.0,13441.196363731548,2800.0,2800.0,0.0,0.0,14.0
2017-03-13,3263,12.0,12.0,181.10076670317633,906.0,13450.153171014768,3600.0,3600.0,0.0,0.0,18.0
2017-03-14,3257,14.0,14.0,184.0991237677985,921.0,13406.34775206434,3000.0,3000.0,0.0,0.0,15.0
2017-03-15,3256,15.0,15.0,187.2973713033954,937.0,13420.310673253101,3200.0,3200.0,0.0,0.0,16.0
2017-03-16,3255,12.0,12.0,189.4961664841183,948.0,13445.76936088494,2200.0,2200.0,0.0,0.0,11.0
2017-03-17,3256,15.0,15.0,193.49397590361446,968.0,13351.115213332283,4000.0,4000.0,0.0,0.0,20.0
2017-03-18,3251,14.0,14.0,197.092004381161,986.0,13335.56786915251,3600.0,3600.0,0.0,0.0,18.0
2017-03-19,3247,19.0,19.0,200.69003285870755,1004.0,13379.279604606498,3600.0,3600.0,0.0,0.0,18.0
2017-03-20,3248,15.0,15.0,203.08871851040527,1016.0,13367.40540257902,2400.0,2400.0,0.0,0.0,12.0
2017-03-21,3251,13.0,13.0,206.2869660460022,1032.0,13369.078190686854,3200.0,3200.0,0.0,0.0,16.0
2017-03-22,3248,19.0,19.0,209.08543263964953,1046.0,13366.296102472279,2800.0,2800.0,0.0,0.0,14.0
2017-03-23,3253,11.0,11.0,211.88389923329683,1060.0,13268.689151638917,2800.0,2800.0,0.0,0.0,14.0
2017-03-24,3250,12.0,12.0,214.4824753559693,1073.0,13257.626314674044,2600.0,2600.0,0.0,0.0,13.0
2017-03-25,3249,7.0,7.0,218.2803943044907,1092.0,13242.480388849586,3800.0,3800.0,0.0,0.0,19.0
2017-03-26,3237,18.0,18.0,221.078860898138,1106.0,13233.061211742785,2800.0,2800.0,0.0,0.0,14.0
2017-03-27,3241,14.0,14.0,223.47754654983572,1118.0,13270.747594715927,2400.0,2400.0,0.0,0.0,12.0
2017-03-28,3243,17.0,17.0,225.6763417305586,1129.0,13248.637841315795,2200.0,2200.0,0.0,0.0,11.0
2017-03-29,3249,12.0,12.0,229.27437020810513,1147.0,13229.68441185271,3600.0,3600.0,0.0,0.0,18.0
2017-03-30,3243,16.0,16.0,232.27272727272725,1162.0,13296.736119090652,3000.0,3000.0,0.0,0.0,15.0
