leak_ID,facility_ID,equipment_group,rate,lat,lon,status,days_active,days_active_prog_start,tagged,component,date_began,date_tagged,tagged_by_company,tagged_by_crew,init_detect_by,init_detect_date,requires_shutdown,date_repaired,repair_delay,cum_frac_leaks,cum_rate,cum_frac_rate
ABRAND00177_0000000025,ABRAND00177,2,0.004274215649323364,54.62,-118.91,repaired,360,0,True,unknown,2020-12-10,2021-12-05,natural,1.0,natural,2021-12-05,False,2021-12-05,0.0,0.8308958682969712,648.298778568934,0.9924824124791297
ABRAND00310_0000000010,ABRAND00310,1,0.0042733353458603105,53.2,-116.39,repaired,360,0,True,unknown,2018-08-04,2019-07-30,natural,1.0,natural,2019-07-30,False,2019-07-30,0.0,0.8309757851834092,648.3030519042799,0.9924889545401571
ABRAND01001_0000000008,ABRAND01001,1,0.004272411434093279,52.42,-113.92,repaired,360,0,True,unknown,2017-11-16,2018-11-11,natural,1.0,natural,2018-11-11,False,2018-11-11,0.0,0.8310557020698474,648.3073243157139,0.9924954951867653
ABRAND00452_0000000010,ABRAND00452,2,0.004272208569463128,53.79,-115.85,repaired,360,0,True,unknown,2019-02-13,2020-02-08,natural,1.0,natural,2020-02-08,False,2020-02-08,0.0,0.8311356189562854,648.3115965242833,0.9925020355228076
ABRAND00908_0000000007,ABRAND00908,1,0.004269457558526551,52.45,-114.24,repaired,360,0,True,unknown,2018-02-27,2019-02-22,natural,1.0,natural,2019-02-22,False,2019-02-22,0.0,0.8312155358427236,648.3158659818419,0.9925085716473194
ABRAND00500_0000000004,ABRAND00500,1,0.0042684469392131755,53.78,-115.72,repaired,360,166,True,unknown,2016-07-19,2017-07-13,natural,1.0,natural,2017-07-13,False,2017-07-13,0.0,0.8312954527291616,648.3201344287811,0.9925151062246715
ABRAND00267_0000000005,ABRAND00267,1,0.004259475975462099,54.17,-117.59,repaired,360,356,True,unknown,2016-01-11,2017-01-04,natural,1.0,natural,2017-01-04,False,2017-01-04,0.0,0.8313753696155998,648.3243939047566,0.99252162706835
ABRAND00260_0000000016,ABRAND00260,1,0.004258951735534113,54.14,-117.67,repaired,360,0,True,unknown,2019-06-24,2020-06-18,natural,1.0,natural,2020-06-18,False,2020-06-18,0.0,0.8314552865020378,648.3286528564921,0.9925281471094682
ABRAND00588_0000000017,ABRAND00588,1,0.004257098541959003,52.85,-115.38,repaired,360,0,True,unknown,2018-11-17,2019-11-12,natural,1.0,natural,2019-11-12,False,2019-11-12,0.0,0.831535203388476,648.3329099550341,0.9925346643135271
ABRAND00101_0000000012,ABRAND00101,3,0.004256463523673761,54.88,-119.44,repaired,360,0,True,unknown,2017-07-27,2018-07-22,natural,1.0,natural,2018-07-22,False,2018-07-22,0.0,0.831615120274914,648.3371664185578,0.9925411805454348
ABRAND00492_0000000001,ABRAND00492,3,0.004255688305410281,53.16,-115.74,repaired,360,134,True,unknown,2016-08-20,2017-08-14,natural,1.0,natural,2017-08-14,False,2017-08-14,0.0,0.8316950371613522,648.3414221068632,0.9925476955905587
ABRAND00469_0000000010,ABRAND00469,1,0.004253935830623042,53.85,-115.81,repaired,360,0,True,unknown,2018-05-19,2019-05-14,natural,1.0,natural,2019-05-14,False,2019-05-14,0.0,0.8317749540477902,648.3456760426939,0.992554207952814
